TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		305 - JAO AWAMAYAH BR.	 5.31 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 56.61 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 23.79 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 205 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 636.81 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 5.91 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 6.02 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 10 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 9.1 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 304.82 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 7.06 	 0 	Stip / Transfer	
